level,n_score_cells,corr_q06_mean_q01_q05,n_effect_cells,corr_effect_q06_mean_effect_q01_q05,model,prompt_template,contrast_label
pooled,7680,0.8257133574746855,7680,0.7623460978217375,,,
by_model,960,0.9549241249141323,960,0.8844854315941094,deepseek,,
by_model,960,0.8759387287859844,960,0.8517891933678192,gemma,,
by_model,960,0.8976754161115463,960,0.9319491974662361,glm,,
by_model,960,0.6019195194672416,960,0.45525879313333584,gpt,,
by_model,960,0.8799524539678242,960,0.8216834815897658,kimi,,
by_model,960,0.6262605893694257,960,0.45112806818584306,ministral,,
by_model,960,0.9160530761164802,960,0.8755753825210993,mistral,,
by_model,960,0.7677066818637909,960,0.7138968406094911,phi,,
by_prompt,2560,0.8203905033014401,2560,0.7733716232176807,,prompt_A,
by_prompt,2560,0.8288911654874521,2560,0.7547200956462419,,prompt_B,
by_prompt,2560,0.8216748652267244,2560,0.721299490130814,,prompt_C,
by_contrast,960,0.8444350458501921,960,0.7501497607306252,,,Female (name)
by_contrast,960,0.8091596683752812,960,0.7073917450333589,,,Higher (profile)
by_contrast,960,0.8464500012229933,960,0.7629772136528538,,,Low-tier (inst.)
by_contrast,960,0.8523571275573003,960,0.7737458495647653,,,Lower (profile)
by_contrast,960,0.8444531579190132,960,0.7631258136971288,,,Male (name)
by_contrast,960,0.7565692781034673,960,0.6928433325761338,,,No (AI)
by_contrast,960,0.8385612975006794,960,0.7486303336603791,,,Top-tier (inst.)
by_contrast,960,0.7613796189937156,960,0.6535200188999007,,,Yes (AI)
