contrast_label,question_id,pooled_effect,n_prompts,prompt_sign_consistency,prompt_sd,prompt_min,prompt_max,prompt_mean_abs_dev_from_pooled
Male (name),q01,-0.060911458333333335,3,3/3,0.017335008589165975,-0.07203124999999999,-0.0409375,0.013315972222222217
Female (name),q01,-0.05083333333333334,3,3/3,0.019046217003947492,-0.06664062500000001,-0.0296875,0.014097222222222225
Low-tier (inst.),q01,-0.06234375,3,3/3,0.017616104803204934,-0.07703125,-0.042812499999999996,0.01302083333333333
Top-tier (inst.),q01,-0.049401041666666666,3,3/3,0.01871421280919153,-0.061015625,-0.0278125,0.014392361111111113
Lower (profile),q01,-0.08861979166666667,3,3/3,0.018683040159014095,-0.101953125,-0.067265625,0.01423611111111111
Higher (profile),q01,-0.023124999999999996,3,3/3,0.01717844221555392,-0.034453125,-0.0033593749999999986,0.013177083333333334
Yes (AI),q01,-0.03,3,3/3,0.024484928399936157,-0.0571875,-0.009687499999999998,0.018125000000000002
No (AI),q01,-0.00020833333333333237,3,1/3,0.021324165917646888,-0.023749999999999993,0.0178125,0.01569444444444444
Male (name),q02,-0.047239583333333335,3,3/3,0.025588332823627023,-0.07664062499999999,-0.03,0.019600694444444445
Female (name),q02,-0.04057291666666666,3,3/3,0.029627852633842846,-0.074765625,-0.0225,0.02279513888888889
Low-tier (inst.),q02,-0.049765625,3,3/3,0.03173865985351106,-0.08640625,-0.03078125,0.024427083333333335
Top-tier (inst.),q02,-0.038046875,3,3/3,0.02371335062885199,-0.065,-0.020390625,0.017968750000000002
Lower (profile),q02,-0.075,3,3/3,0.03220712008212432,-0.11203125000000001,-0.053515625000000004,0.0246875
Higher (profile),q02,-0.0128125,3,2/3,0.023010299366873196,-0.039375,0.0010156249999999987,0.017708333333333336
Yes (AI),q02,-0.016770833333333332,3,3/3,0.006933933016934424,-0.023125,-0.009375,0.004930555555555555
No (AI),q02,-0.004583333333333332,3,2/3,0.012671993808526471,-0.016874999999999994,0.008437499999999997,0.008680555555555552
Male (name),q03,-0.10888020833333334,3,3/3,0.0633203165162964,-0.17734375,-0.05242187500000001,0.04564236111111111
Female (name),q03,-0.09510416666666666,3,3/3,0.07145535328455688,-0.17484375,-0.036875000000000005,0.053159722222222205
Low-tier (inst.),q03,-0.12315104166666664,3,3/3,0.07350883060614781,-0.205546875,-0.064296875,0.054930555555555545
Top-tier (inst.),q03,-0.08083333333333333,3,3/3,0.06143061367285825,-0.146640625,-0.024999999999999998,0.04387152777777777
Lower (profile),q03,-0.186171875,3,3/3,0.08967616843703168,-0.28234375,-0.10484375,0.06411458333333332
Higher (profile),q03,-0.0178125,3,1/3,0.04565488907537039,-0.06984375,0.015546874999999998,0.0346875
Yes (AI),q03,-0.03697916666666667,3,3/3,0.026897398611823657,-0.05625,-0.0062499999999999995,0.020486111111111108
No (AI),q03,0.0128125,3,1/3,0.026072689854520194,-0.004375000000000007,0.0428125,0.020000000000000004
Male (name),q04,-0.07197916666666666,3,3/3,0.043320459262976514,-0.115234375,-0.028593750000000008,0.028923611111111112
Female (name),q04,-0.05841145833333333,3,3/3,0.042504978262355726,-0.102890625,-0.018203125000000007,0.029652777777777778
Low-tier (inst.),q04,-0.08005208333333334,3,3/3,0.04855909217585011,-0.131328125,-0.03476562500000001,0.03418402777777777
Top-tier (inst.),q04,-0.05033854166666666,3,3/3,0.037417090421342995,-0.086796875,-0.012031250000000005,0.02553819444444444
Lower (profile),q04,-0.12236979166666667,3,3/3,0.057908774005074846,-0.182109375,-0.06648437500000001,0.03982638888888888
Higher (profile),q04,-0.008020833333333336,3,2/3,0.027852667331405772,-0.036015625,0.019687499999999997,0.018663194444444444
Yes (AI),q04,-0.022395833333333337,3,2/3,0.022626237305025627,-0.04000000000000001,0.003124999999999994,0.017013888888888887
No (AI),q04,0.008749999999999996,3,2/3,0.019230814302831793,-0.008124999999999999,0.02968749999999999,0.01395833333333333
Male (name),q05,-0.16385416666666666,3,3/3,0.08759959919226704,-0.2503125,-0.07515625000000001,0.059131944444444445
Female (name),q05,-0.14513020833333334,3,3/3,0.0879983483361809,-0.236796875,-0.06132812500000001,0.06111111111111111
Low-tier (inst.),q05,-0.18932291666666667,3,3/3,0.10175703524575196,-0.296953125,-0.09468750000000001,0.07175347222222221
Top-tier (inst.),q05,-0.11966145833333335,3,3/3,0.07445375349507376,-0.19015625,-0.041796875000000004,0.05190972222222223
Lower (profile),q05,-0.27393229166666666,3,3/3,0.1390385849637573,-0.414140625,-0.13609375,0.09347222222222222
Higher (profile),q05,-0.03505208333333334,3,3/3,0.03639839753476736,-0.07296875,-0.00039062500000000035,0.025277777777777777
Yes (AI),q05,-0.05520833333333334,3,3/3,0.027029594120765735,-0.08625000000000001,-0.03687500000000001,0.02069444444444445
No (AI),q05,0.011249999999999996,3,2/3,0.026796761114918348,-0.018750000000000006,0.032812499999999994,0.02
Male (name),q06,-0.11190104166666666,3,3/3,0.05723664498069251,-0.164609375,-0.051015625,0.040590277777777774
Female (name),q06,-0.09416666666666666,3,3/3,0.05990543967348839,-0.15499999999999997,-0.035234375,0.040555555555555546
Low-tier (inst.),q06,-0.12453124999999998,3,3/3,0.06653021517513677,-0.19328125,-0.06046875,0.04583333333333333
Top-tier (inst.),q06,-0.08153645833333333,3,3/3,0.05116217306246831,-0.12632812499999999,-0.02578125,0.037170138888888885
Lower (profile),q06,-0.18752604166666664,3,3/3,0.079474183439236,-0.264609375,-0.10585937499999999,0.05444444444444444
Higher (profile),q06,-0.01854166666666667,3,2/3,0.037333479018154175,-0.055,0.01960937499999999,0.025434027777777774
Yes (AI),q06,-0.052812500000000005,3,3/3,0.031636670277543424,-0.079375,-0.017812500000000012,0.02333333333333332
No (AI),q06,0.009270833333333338,3,2/3,0.028845516152139365,-0.01812499999999999,0.039375,0.020069444444444442
