contrast_label,contrast_group,model,text_id,run_mode,condition_id,prompt_template,pi_name_group,pi_inst_tier,pi_metric_level,ai_flag,condition_family,q01,q02,q03,q04,q05,q06,blind_q01,blind_q02,blind_q03,blind_q04,blind_q05,blind_q06,effect_q01,effect_q02,effect_q03,effect_q04,effect_q05,effect_q06
Male (name),PI_NAME,deepseek,10.3030_101087383_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_A,M_N,LOW_I,HIGH_B,,pi_main,4.0,4.0,3.0,3.6,1.8,3.4,4.0,4.0,3.1,3.6,1.4,3.3,0.0,0.0,-0.10000000000000009,0.0,0.40000000000000013,0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101087383_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_B,M_N,LOW_I,HIGH_B,,pi_main,4.0,4.0,3.0,3.5,1.2,3.1,4.0,4.0,3.0,3.5,1.9,3.5,0.0,0.0,0.0,0.0,-0.7,-0.3999999999999999
Male (name),PI_NAME,deepseek,10.3030_101087383_full,pi-only,PI+M_N+LOW_I+HIGH_B,prompt_C,M_N,LOW_I,HIGH_B,,pi_main,4.0,4.0,3.0,3.6,1.6,3.3,4.0,4.0,3.0,3.5,1.4,3.1,0.0,0.0,0.0,0.10000000000000009,0.20000000000000018,0.19999999999999973
Male (name),PI_NAME,deepseek,10.3030_101087383_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_A,M_N,LOW_I,LOW_B,,pi_main,3.9,4.0,3.0,3.5,1.6,3.3,4.0,4.0,3.1,3.6,1.4,3.3,-0.10000000000000009,0.0,-0.10000000000000009,-0.10000000000000009,0.20000000000000018,0.0
Male (name),PI_NAME,deepseek,10.3030_101087383_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_B,M_N,LOW_I,LOW_B,,pi_main,3.8,3.8,2.8,3.3,1.6,3.1,4.0,4.0,3.0,3.5,1.9,3.5,-0.20000000000000018,-0.20000000000000018,-0.20000000000000018,-0.20000000000000018,-0.2999999999999998,-0.3999999999999999
Male (name),PI_NAME,deepseek,10.3030_101087383_full,pi-only,PI+M_N+LOW_I+LOW_B,prompt_C,M_N,LOW_I,LOW_B,,pi_main,4.0,4.0,3.0,3.5,2.0,3.5,4.0,4.0,3.0,3.5,1.4,3.1,0.0,0.0,0.0,0.0,0.6000000000000001,0.3999999999999999
Male (name),PI_NAME,deepseek,10.3030_101087383_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_A,M_N,TOP_I,HIGH_B,,pi_main,4.0,4.0,3.0,3.5,1.2,3.4,4.0,4.0,3.1,3.6,1.4,3.3,0.0,0.0,-0.10000000000000009,-0.10000000000000009,-0.19999999999999996,0.10000000000000009
Male (name),PI_NAME,deepseek,10.3030_101087383_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_B,M_N,TOP_I,HIGH_B,,pi_main,4.0,4.0,2.8,3.3,1.5,3.2,4.0,4.0,3.0,3.5,1.9,3.5,0.0,0.0,-0.20000000000000018,-0.20000000000000018,-0.3999999999999999,-0.2999999999999998
Male (name),PI_NAME,deepseek,10.3030_101087383_full,pi-only,PI+M_N+TOP_I+HIGH_B,prompt_C,M_N,TOP_I,HIGH_B,,pi_main,4.0,4.0,3.0,3.4,2.0,3.5,4.0,4.0,3.0,3.5,1.4,3.1,0.0,0.0,0.0,-0.10000000000000009,0.6000000000000001,0.3999999999999999
Male (name),PI_NAME,deepseek,10.3030_101087383_full,pi-only,PI+M_N+TOP_I+LOW_B,prompt_A,M_N,TOP_I,LOW_B,,pi_main,4.0,3.9,2.7,3.3,1.6,3.1,4.0,4.0,3.1,3.6,1.4,3.3,0.0,-0.10000000000000009,-0.3999999999999999,-0.30000000000000027,0.20000000000000018,-0.19999999999999973
