question_group,contrast_label,contrast_group,mean_effect,sd,se,ci95,n,n_texts,n_models,n_prompts
project_focused_q01_q04,Female (name),PI_NAME,-0.06123046875,0.11365188280608994,0.0036680987447758615,0.0071894735397606884,960,40,8,3
project_focused_q01_q04,Higher (profile),PI_BIB,-0.015442708333333333,0.10444515800763161,0.003370952979629662,0.006607067840074138,960,40,8,3
project_focused_q01_q04,Low-tier (inst.),PI_INST,-0.078828125,0.11982609712089112,0.0038673706549186984,0.007580046483640649,960,40,8,3
project_focused_q01_q04,Lower (profile),PI_BIB,-0.11804036458333332,0.14375278026371474,0.004639601032769845,0.009093618024228896,960,40,8,3
project_focused_q01_q04,Male (name),PI_NAME,-0.07225260416666666,0.11767208348627829,0.0037978501637990383,0.007443786321046115,960,40,8,3
project_focused_q01_q04,No (AI),AI,0.004192708333333334,0.10851399024164125,0.003502273975303256,0.006864456991594382,960,40,8,3
project_focused_q01_q04,Top-tier (inst.),PI_INST,-0.05465494791666667,0.11266579031172962,0.003636272746371881,0.007127094582888886,960,40,8,3
project_focused_q01_q04,Yes (AI),AI,-0.026536458333333332,0.1134047846264953,0.0036601236853221262,0.007173842423231367,960,40,8,3
capacity_global_q05_q06,Female (name),PI_NAME,-0.11964843749999998,0.20548916078687182,0.006632134146280773,0.012998982926710315,960,40,8,3
capacity_global_q05_q06,Higher (profile),PI_BIB,-0.026796874999999998,0.18369406433177068,0.005928700432950847,0.011620252848583661,960,40,8,3
capacity_global_q05_q06,Low-tier (inst.),PI_INST,-0.1569270833333333,0.22030836739049708,0.007110421982779502,0.013936427086247826,960,40,8,3
capacity_global_q05_q06,Lower (profile),PI_BIB,-0.23072916666666662,0.2600866435069123,0.008394260323943806,0.01645275023492986,960,40,8,3
capacity_global_q05_q06,Male (name),PI_NAME,-0.13787760416666664,0.21387380399169645,0.006902747342082247,0.013529384790481205,960,40,8,3
capacity_global_q05_q06,No (AI),AI,0.010260416666666668,0.18733751359465142,0.006046292252266588,0.011850732814442511,960,40,8,3
capacity_global_q05_q06,Top-tier (inst.),PI_INST,-0.10059895833333332,0.20414587982414556,0.00658877993963147,0.012914008681677682,960,40,8,3
capacity_global_q05_q06,Yes (AI),AI,-0.05401041666666666,0.18341579940154487,0.005919719470945863,0.01160265016305389,960,40,8,3
