pair_label,left_label,right_label,prompt,question_id,left_value,right_value,pair_mean_diff
Male (name) - Female (name),Male (name),Female (name),prompt_A,q01,-0.069765625,-0.06664062500000001,-0.003124999999999989
Male (name) - Female (name),Male (name),Female (name),prompt_A,q02,-0.07664062499999999,-0.074765625,-0.0018749999999999878
Male (name) - Female (name),Male (name),Female (name),prompt_A,q03,-0.17734375,-0.17484375,-0.0025000000000000022
Male (name) - Female (name),Male (name),Female (name),prompt_A,q04,-0.115234375,-0.102890625,-0.01234375
Male (name) - Female (name),Male (name),Female (name),prompt_A,q05,-0.2503125,-0.236796875,-0.013515625000000003
Male (name) - Female (name),Male (name),Female (name),prompt_A,q06,-0.164609375,-0.15499999999999997,-0.009609375000000031
Male (name) - Female (name),Male (name),Female (name),prompt_B,q01,-0.0409375,-0.0296875,-0.011250000000000003
Male (name) - Female (name),Male (name),Female (name),prompt_B,q02,-0.03,-0.0225,-0.0075
Male (name) - Female (name),Male (name),Female (name),prompt_B,q03,-0.05242187500000001,-0.036875000000000005,-0.015546875000000002
Male (name) - Female (name),Male (name),Female (name),prompt_B,q04,-0.028593750000000008,-0.018203125000000007,-0.010390625
Male (name) - Female (name),Male (name),Female (name),prompt_B,q05,-0.07515625000000001,-0.06132812500000001,-0.013828124999999997
Male (name) - Female (name),Male (name),Female (name),prompt_B,q06,-0.051015625,-0.035234375,-0.015781250000000004
Male (name) - Female (name),Male (name),Female (name),prompt_C,q01,-0.07203124999999999,-0.056171875,-0.015859374999999988
Male (name) - Female (name),Male (name),Female (name),prompt_C,q02,-0.035078124999999995,-0.024453124999999996,-0.010624999999999999
Male (name) - Female (name),Male (name),Female (name),prompt_C,q03,-0.09687499999999999,-0.07359375,-0.02328124999999999
Male (name) - Female (name),Male (name),Female (name),prompt_C,q04,-0.072109375,-0.054140625,-0.017968750000000006
Male (name) - Female (name),Male (name),Female (name),prompt_C,q05,-0.16609375,-0.137265625,-0.02882812500000001
Male (name) - Female (name),Male (name),Female (name),prompt_C,q06,-0.120078125,-0.092265625,-0.02781249999999999
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_A,q01,-0.07703125,-0.059375000000000004,-0.01765624999999999
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_A,q02,-0.08640625,-0.065,-0.02140625
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_A,q03,-0.205546875,-0.146640625,-0.05890624999999999
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_A,q04,-0.131328125,-0.086796875,-0.044531249999999994
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_A,q05,-0.296953125,-0.19015625,-0.10679687499999999
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_A,q06,-0.19328125,-0.12632812499999999,-0.066953125
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),prompt_B,q01,-0.042812499999999996,-0.0278125,-0.014999999999999996
