effect,effect_label,flip_label,K,p_exit_given_funded_base_ci_low,p_exit_given_funded_base_ci_high,p_exit_unconditional_ci_low,p_exit_unconditional_ci_high,mean_rank_delta_ci_low,mean_rank_delta_ci_high
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,4,0.43995890410958904,0.6666666666666666,0.035416666666666666,0.07398437499999998,2.8697395833333332,4.18546875
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,5,0.4537617611147023,0.6759722222222222,0.04791666666666667,0.08958333333333333,2.8697395833333332,4.18546875
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,6,0.3925443081117928,0.6091031149301825,0.053125,0.09791666666666667,2.8697395833333332,4.18546875
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,7,0.40119673443810056,0.6087298331966092,0.06458333333333334,0.11354166666666667,2.8697395833333332,4.18546875
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,8,0.3818088097469541,0.5654761904761905,0.07080729166666666,0.121875,2.8697395833333332,4.18546875
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,9,0.3472100083752094,0.5297517926089355,0.07395833333333333,0.12604166666666666,2.8697395833333332,4.18546875
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,10,0.3521579611218282,0.5240227574399323,0.08333333333333333,0.13645833333333332,2.8697395833333332,4.18546875
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,4,0.4049831364668267,0.5760075846060587,0.034895833333333334,0.06016276041666666,1.7897786458333333,2.5133463541666665
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,5,0.38559504609394385,0.5319234728894989,0.041666666666666664,0.07109375,1.7897786458333333,2.5133463541666665
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,6,0.36567109171059353,0.5057057019308125,0.04791015625,0.08151041666666667,1.7897786458333333,2.5133463541666665
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,7,0.3414558347931546,0.46827395313172115,0.053125,0.08697916666666666,1.7897786458333333,2.5133463541666665
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,8,0.32560312453643336,0.43668004796867105,0.05936848958333333,0.09348958333333333,1.7897786458333333,2.5133463541666665
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,9,0.3123418146317652,0.4176468289396923,0.06535807291666668,0.09871093749999998,1.7897786458333333,2.5133463541666665
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,10,0.3085905997983871,0.40988105306724726,0.07212890625,0.10729817708333332,1.7897786458333333,2.5133463541666665
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,4,0.6512275707061248,0.8120071672354949,0.04920572916666666,0.09635416666666667,7.145742187500001,8.809752604166667
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,5,0.618081540872562,0.7692359249329759,0.06145833333333333,0.11197916666666667,7.145742187500001,8.809752604166667
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,6,0.598016396877783,0.7577074718948364,0.07395833333333333,0.13151692708333332,7.145742187500001,8.809752604166667
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,7,0.5870488028355798,0.7495690068396921,0.08723307291666667,0.14817708333333332,7.145742187500001,8.809752604166667
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,8,0.5738937940082861,0.7370103459369761,0.09921223958333333,0.16484375,7.145742187500001,8.809752604166667
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,9,0.570739532410264,0.7359012288447947,0.11276041666666667,0.1828255208333333,7.145742187500001,8.809752604166667
pi_metric_level,Profile: Higher → Lower,HIGH_B -> LOW_B,10,0.5621744639376218,0.723147205573034,0.12600911458333333,0.19662109375,7.145742187500001,8.809752604166667
pi_name_group,Name: Female → Male,F_N -> M_N,4,0.29429370777027025,0.41237435567010305,0.02265625,0.047141927083333326,0.5971223958333334,1.1231901041666668
pi_name_group,Name: Female → Male,F_N -> M_N,5,0.2714170506912442,0.3846335697399527,0.027864583333333335,0.05522135416666665,0.5971223958333334,1.1231901041666668
pi_name_group,Name: Female → Male,F_N -> M_N,6,0.26558408112099885,0.3608305887396956,0.03358723958333333,0.06015625,0.5971223958333334,1.1231901041666668
pi_name_group,Name: Female → Male,F_N -> M_N,7,0.2588179636478086,0.349056768738621,0.039322916666666666,0.06666666666666667,0.5971223958333334,1.1231901041666668
pi_name_group,Name: Female → Male,F_N -> M_N,8,0.24412455541621267,0.32813325711382113,0.04348958333333333,0.07005208333333333,0.5971223958333334,1.1231901041666668
pi_name_group,Name: Female → Male,F_N -> M_N,9,0.2428567337587956,0.32281205164992827,0.04921875,0.078125,0.5971223958333334,1.1231901041666668
pi_name_group,Name: Female → Male,F_N -> M_N,10,0.243893240117746,0.31825604265920715,0.055989583333333336,0.08307291666666666,0.5971223958333334,1.1231901041666668
