pair_label,left_label,right_label,question_id,pooled_pair_diff,n_models,model_sign_consistency,model_sd,model_min,model_max,model_mean_abs_dev_from_pooled
Male (name) - Female (name),Male (name),Female (name),q01,-0.010078124999999993,8,8/8,0.010802920623517318,-0.026666666666666658,-0.0002083333333333335,0.009088541666666665
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),q01,-0.012942708333333337,8,7/8,0.0094461174915773,-0.02812500000000001,0.0002083333333333335,0.0075260416666666705
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),q01,-0.06549479166666668,8,8/8,0.06319739263029653,-0.17604166666666668,-0.0002083333333333335,0.046471354166666666
Yes (AI) - No (AI),Yes (AI),No (AI),q01,-0.029791666666666668,8,6/8,0.0382653382463962,-0.09666666666666668,0.0,0.03140625
Male (name) - Female (name),Male (name),Female (name),q02,-0.006666666666666675,8,4/8,0.01048844318648819,-0.025208333333333346,0.003333333333333333,0.008281250000000004
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),q02,-0.01171875,8,7/8,0.009698294677047975,-0.028749999999999998,0.0,0.00802083333333333
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),q02,-0.0621875,8,7/8,0.05826015818504128,-0.151875,0.0,0.04893229166666667
Yes (AI) - No (AI),Yes (AI),No (AI),q02,-0.0121875,8,5/8,0.021739518090919056,-0.054166666666666675,0.008333333333333335,0.016822916666666667
Male (name) - Female (name),Male (name),Female (name),q03,-0.013776041666666683,8,7/8,0.01598123182315173,-0.031249999999999972,0.01666666666666669,0.011894531249999993
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),q03,-0.042317708333333315,8,8/8,0.02278981055273961,-0.07541666666666665,-0.009375000000000005,0.018626302083333324
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),q03,-0.16835937499999998,8,8/8,0.07686079826717816,-0.2654166666666667,-0.023125,0.060078125
Yes (AI) - No (AI),Yes (AI),No (AI),q03,-0.049791666666666665,8,7/8,0.025853486762480945,-0.07916666666666666,0.0,0.019843749999999993
Male (name) - Female (name),Male (name),Female (name),q04,-0.013567708333333331,8,8/8,0.012476882144415516,-0.03229166666666666,-0.0010416666666666907,0.010292968749999996
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),q04,-0.029713541666666683,8,8/8,0.01883214067941944,-0.06520833333333335,-0.007916666666666662,0.014140624999999997
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),q04,-0.11434895833333333,8,8/8,0.07151852052805502,-0.2627083333333334,-0.017708333333333333,0.04772786458333334
Yes (AI) - No (AI),Yes (AI),No (AI),q04,-0.03114583333333333,8,8/8,0.026800029243646682,-0.07083333333333335,-0.003333333333333334,0.02260416666666666
Male (name) - Female (name),Male (name),Female (name),q05,-0.018723958333333318,8,6/8,0.020189589214464225,-0.05041666666666672,0.009166666666666656,0.015345052083333345
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),q05,-0.06966145833333333,8,8/8,0.023342881098233594,-0.10708333333333342,-0.03791666666666664,0.018359375000000018
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),q05,-0.23888020833333332,8,8/8,0.09947449580782118,-0.42708333333333326,-0.10729166666666667,0.077578125
Yes (AI) - No (AI),Yes (AI),No (AI),q05,-0.06645833333333334,8,8/8,0.033640696017939765,-0.12666666666666668,-0.025,0.026250000000000002
Male (name) - Female (name),Male (name),Female (name),q06,-0.017734374999999997,8,8/8,0.010829576672371723,-0.036041666666666694,-0.001250000000000015,0.008105468749999997
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),q06,-0.04299479166666666,8,8/8,0.019043319943597183,-0.073125,-0.02333333333333333,0.014335937499999993
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),q06,-0.16898437499999996,8,8/8,0.06684068039973563,-0.315625,-0.10520833333333332,0.04696614583333332
Yes (AI) - No (AI),Yes (AI),No (AI),q06,-0.062083333333333345,8,8/8,0.014128098761092188,-0.08499999999999999,-0.04083333333333333,0.010937500000000001
