contrast_label,contrast_group,model,prompt_template,question_id,blind_mean,target_mean,mean_effect,sd_effect,se_effect,ci95,n_texts
Female (name),PI_NAME,deepseek,prompt_A,q01,3.9599999999999995,3.9200000000000004,-0.04000000000000001,0.08983603297404008,0.014204324007597842,0.027840475054891768,40
Female (name),PI_NAME,deepseek,prompt_A,q02,3.9850000000000003,3.9612499999999997,-0.02375,0.06932596731088392,0.010961397884838577,0.02148433985428361,40
Female (name),PI_NAME,deepseek,prompt_A,q03,3.0025,2.8481249999999996,-0.15437499999999998,0.15378634654810996,0.024315756406400033,0.04765888255654406,40
Female (name),PI_NAME,deepseek,prompt_A,q04,3.5174999999999996,3.4299999999999997,-0.0875,0.12403473458920845,0.0196116135138184,0.03843876248708406,40
Female (name),PI_NAME,deepseek,prompt_A,q05,2.0375,1.934375,-0.10312499999999998,0.4575641856334027,0.07234725011608233,0.14180061022752136,40
Female (name),PI_NAME,deepseek,prompt_A,q06,3.4274999999999998,3.3200000000000003,-0.10749999999999997,0.1832925362532633,0.028981094633464866,0.056802945481591136,40
Female (name),PI_NAME,deepseek,prompt_B,q01,3.9225000000000003,3.88125,-0.04124999999999999,0.18130138528895,0.028666266022841332,0.05618588140476901,40
Female (name),PI_NAME,deepseek,prompt_B,q02,3.9775,3.9349999999999996,-0.0425,0.0786912173772124,0.012442173938170625,0.024386660918814425,40
Female (name),PI_NAME,deepseek,prompt_B,q03,2.9725,2.87375,-0.09875000000000002,0.21512891185972358,0.034014867601516806,0.06666914049897293,40
Female (name),PI_NAME,deepseek,prompt_B,q04,3.53,3.4375,-0.09249999999999999,0.21372760041577962,0.03379330080781069,0.06623486958330896,40
Female (name),PI_NAME,deepseek,prompt_B,q05,2.1925,2.0837499999999998,-0.10875000000000001,0.4482355007164918,0.07087225552050748,0.13890962082019465,40
Female (name),PI_NAME,deepseek,prompt_B,q06,3.4450000000000003,3.3706249999999995,-0.07437499999999997,0.22256427334419773,0.03519050147739826,0.06897338289570058,40
Female (name),PI_NAME,deepseek,prompt_C,q01,3.9450000000000003,3.899375,-0.04562500000000001,0.09505185831550467,0.015029018405430519,0.029456876074643815,40
Female (name),PI_NAME,deepseek,prompt_C,q02,3.975,3.961875,-0.013125000000000012,0.06956538613935775,0.010999253325473902,0.02155853651792885,40
Female (name),PI_NAME,deepseek,prompt_C,q03,2.9825,2.884375,-0.09812500000000003,0.1227864912598183,0.01941424891406917,0.038051927871575575,40
Female (name),PI_NAME,deepseek,prompt_C,q04,3.535,3.4918750000000003,-0.043125,0.14477961811150356,0.022891667600085847,0.04486766849616826,40
Female (name),PI_NAME,deepseek,prompt_C,q05,2.19,2.18375,-0.0062500000000000056,0.5302923117464894,0.08384657653974846,0.16433929001790698,40
Female (name),PI_NAME,deepseek,prompt_C,q06,3.47,3.4443749999999995,-0.025625,0.21606085176789122,0.034162220239127704,0.0669579516686903,40
Female (name),PI_NAME,gemma,prompt_A,q01,3.6375,3.50625,-0.13125,0.21917312557510094,0.03465431393577103,0.06792245531411122,40
Female (name),PI_NAME,gemma,prompt_A,q02,3.465,3.25625,-0.20875,0.2162878838907735,0.034198117169644264,0.06702830965250275,40
Female (name),PI_NAME,gemma,prompt_A,q03,2.8875,2.676875,-0.210625,0.1979775547366094,0.03130299992791712,0.06135387985871756,40
Female (name),PI_NAME,gemma,prompt_A,q04,3.3850000000000002,3.1399999999999997,-0.24500000000000002,0.2092569270979136,0.03308642528986076,0.06484939356812709,40
Female (name),PI_NAME,gemma,prompt_A,q05,2.9225000000000003,2.4775,-0.445,0.2782845804070137,0.04400065558952152,0.08624128495546218,40
Female (name),PI_NAME,gemma,prompt_A,q06,3.45,3.2175,-0.2325,0.18442565036572464,0.029160255705677766,0.05715410118312842,40
Female (name),PI_NAME,gemma,prompt_B,q01,3.6375,3.541875,-0.095625,0.1688846803484859,0.02670301259053473,0.05233790467744807,40
