pair_label,left_label,right_label,question_id,pooled_pair_diff,n_prompts,prompt_sign_consistency,prompt_sd,prompt_min,prompt_max,prompt_mean_abs_dev_from_pooled
Male (name) - Female (name),Male (name),Female (name),q01,-0.010078124999999993,3,3/3,0.006447561160770405,-0.015859374999999988,-0.003124999999999989,0.00463541666666667
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),q01,-0.012942708333333337,3,3/3,0.006012242014129029,-0.01765624999999999,-0.006171875,0.004513888888888883
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),q01,-0.06549479166666668,3,3/3,0.0018327487822825995,-0.0675,-0.06390625,0.0013368055555555657
Yes (AI) - No (AI),Yes (AI),No (AI),q01,-0.029791666666666668,3,3/3,0.0031919903012592905,-0.03343750000000001,-0.027499999999999997,0.002430555555555561
Male (name) - Female (name),Male (name),Female (name),q02,-0.006666666666666675,3,3/3,0.004434124302873498,-0.010624999999999999,-0.0018749999999999878,0.0031944444444444455
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),q02,-0.01171875,3,3/3,0.0096875,-0.02140625,-0.002031250000000002,0.006458333333333334
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),q02,-0.0621875,3,3/3,0.0093841101569355,-0.07265625,-0.05453125,0.006979166666666668
Yes (AI) - No (AI),Yes (AI),No (AI),q02,-0.0121875,3,3/3,0.005787580992953787,-0.017812499999999995,-0.0062500000000000056,0.00395833333333333
Male (name) - Female (name),Male (name),Female (name),q03,-0.013776041666666683,3,3/3,0.010503188844891737,-0.02328124999999999,-0.0025000000000000022,0.007517361111111102
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),q03,-0.042317708333333315,3,3/3,0.015303395996851757,-0.05890624999999999,-0.028749999999999984,0.011059027777777772
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),q03,-0.16835937499999998,3,3/3,0.04617385782544465,-0.21250000000000002,-0.120390625,0.03197916666666668
Yes (AI) - No (AI),Yes (AI),No (AI),q03,-0.049791666666666665,3,3/3,0.0018310828990882224,-0.05187499999999999,-0.04843749999999999,0.0013888888888888885
Male (name) - Female (name),Male (name),Female (name),q04,-0.013567708333333331,3,3/3,0.003934533025685304,-0.017968750000000006,-0.010390625,0.0029340277777777785
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),q04,-0.029713541666666683,3,3/3,0.012839703716848696,-0.044531249999999994,-0.021875000000000006,0.009878472222222224
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),q04,-0.11434895833333333,3,3/3,0.030119830393657728,-0.14609375,-0.08617187500000001,0.02116319444444444
Yes (AI) - No (AI),Yes (AI),No (AI),q04,-0.03114583333333333,3,3/3,0.004265749006134013,-0.03499999999999999,-0.026562499999999996,0.0030555555555555566
Male (name) - Female (name),Male (name),Female (name),q05,-0.018723958333333318,3,3/3,0.00875185992137291,-0.02882812500000001,-0.013515625000000003,0.006736111111111109
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),q05,-0.06966145833333333,3,3/3,0.03221037314314805,-0.10679687499999999,-0.04929687499999999,0.02475694444444444
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),q05,-0.23888020833333332,3,3/3,0.10273723657294775,-0.341171875,-0.135703125,0.06878472222222222
Yes (AI) - No (AI),Yes (AI),No (AI),q05,-0.06645833333333334,3,3/3,0.009418302770846404,-0.07531249999999998,-0.05656250000000001,0.00659722222222221
Male (name) - Female (name),Male (name),Female (name),q06,-0.017734374999999997,3,3/3,0.0092574004391419,-0.02781249999999999,-0.009609375000000031,0.006718749999999984
Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),q06,-0.04299479166666666,3,3/3,0.021070927082094855,-0.066953125,-0.02734375,0.015972222222222218
Lower (profile) - Higher (profile),Lower (profile),Higher (profile),q06,-0.16898437499999996,3,3/3,0.04214472658015027,-0.209609375,-0.12546875,0.029010416666666667
Yes (AI) - No (AI),Yes (AI),No (AI),q06,-0.062083333333333345,3,3/3,0.005361295513524061,-0.0678125,-0.057187500000000016,0.003819444444444438
