contrast_label,contrast_group,question_id,blind_mean,target_mean,mean_effect,sd_text,se_text,ci95,n_models,n_prompts,n_model_prompt_cells,n_texts
Female (name),PI_NAME,q01,3.7721875,3.7213541666666665,-0.05083333333333334,0.1420121429009412,0.004583422203454776,0.008983507518771361,8,3,24,960
Female (name),PI_NAME,q02,3.8725,3.8319270833333334,-0.04057291666666666,0.12017403479985378,0.003878600295219869,0.007602056578630943,8,3,24,960
Female (name),PI_NAME,q03,3.1722916666666663,3.0771874999999995,-0.09510416666666666,0.19081691344330717,0.006158589399505257,0.012070835223030303,8,3,24,960
Female (name),PI_NAME,q04,3.5478125000000005,3.489401041666666,-0.05841145833333333,0.16035333923402378,0.005175381769684354,0.010143748268581334,8,3,24,960
Female (name),PI_NAME,q05,2.9258333333333333,2.780703125,-0.14513020833333334,0.2679073671558704,0.00864667309434135,0.016947479264909044,8,3,24,960
Female (name),PI_NAME,q06,3.6063541666666663,3.5121875,-0.09416666666666666,0.18240109618303565,0.005886970065390619,0.011538461328165613,8,3,24,960
Higher (profile),PI_BIB,q01,3.7721875,3.7490625000000004,-0.023124999999999996,0.13522227096588807,0.00436428002906026,0.00855398885695811,8,3,24,960
Higher (profile),PI_BIB,q02,3.8725,3.8596874999999997,-0.0128125,0.10829711501197332,0.003495274357364016,0.0068507377404334715,8,3,24,960
Higher (profile),PI_BIB,q03,3.1722916666666663,3.1544791666666665,-0.0178125,0.1734093695188165,0.005596763335189203,0.010969656136970837,8,3,24,960
Higher (profile),PI_BIB,q04,3.5478125000000005,3.5397916666666664,-0.008020833333333336,0.15399016660550832,0.004970011256190327,0.00974122206213304,8,3,24,960
Higher (profile),PI_BIB,q05,2.9258333333333333,2.89078125,-0.03505208333333334,0.23742184356039708,0.007662757051127338,0.015019003820209582,8,3,24,960
Higher (profile),PI_BIB,q06,3.6063541666666663,3.5878125,-0.01854166666666667,0.16910396359635457,0.005457806956552888,0.01069730163484366,8,3,24,960
Low-tier (inst.),PI_INST,q01,3.7721875,3.7098437499999997,-0.06234375,0.1529428954291514,0.004936210724315382,0.009674973019658148,8,3,24,960
Low-tier (inst.),PI_INST,q02,3.8725,3.8227343749999996,-0.049765625,0.13027432460515584,0.004204585746951564,0.008240988064025066,8,3,24,960
Low-tier (inst.),PI_INST,q03,3.1722916666666663,3.0491406249999997,-0.12315104166666664,0.20054629015062497,0.0064726036824754255,0.012686303217651834,8,3,24,960
Low-tier (inst.),PI_INST,q04,3.5478125000000005,3.4677604166666662,-0.08005208333333334,0.16937133773986918,0.005466436419928208,0.010714215383059288,8,3,24,960
Low-tier (inst.),PI_INST,q05,2.9258333333333333,2.736510416666667,-0.18932291666666667,0.290980256714321,0.009391347402747701,0.018407040909385494,8,3,24,960
Low-tier (inst.),PI_INST,q06,3.6063541666666663,3.4818229166666668,-0.12453124999999998,0.1908723704367445,0.006160379266272035,0.012074343361893189,8,3,24,960
Lower (profile),PI_BIB,q01,3.7721875,3.6835677083333334,-0.08861979166666667,0.17764842734227296,0.005733578338138012,0.011237813542750504,8,3,24,960
Lower (profile),PI_BIB,q02,3.8725,3.7975,-0.075,0.15609363917811167,0.0050379005415478,0.009874285061433688,8,3,24,960
Lower (profile),PI_BIB,q03,3.1722916666666663,2.986119791666667,-0.186171875,0.2409267098105362,0.007775876122939615,0.015240717200961646,8,3,24,960
Lower (profile),PI_BIB,q04,3.5478125000000005,3.425442708333333,-0.12236979166666667,0.19553870329928263,0.006310984511809291,0.012369529643146209,8,3,24,960
