contrast_label,contrast_group,prompt_template,question_id,mean_effect,blind_mean,target_mean,n_texts
Female (name),PI_NAME,prompt_A,q01,-0.06664062500000001,3.77875,3.712109375,40.0
Female (name),PI_NAME,prompt_A,q02,-0.074765625,3.875625,3.800859375,40.0
Female (name),PI_NAME,prompt_A,q03,-0.17484375,3.181875,3.00703125,40.0
Female (name),PI_NAME,prompt_A,q04,-0.102890625,3.5434375,3.440546875,40.0
Female (name),PI_NAME,prompt_A,q05,-0.236796875,2.91,2.673203125,40.0
Female (name),PI_NAME,prompt_A,q06,-0.15499999999999997,3.6025,3.4475,40.0
Female (name),PI_NAME,prompt_B,q01,-0.0296875,3.7553125,3.725625,40.0
Female (name),PI_NAME,prompt_B,q02,-0.0225,3.863125,3.8406249999999997,40.0
Female (name),PI_NAME,prompt_B,q03,-0.036875000000000005,3.1521874999999997,3.1153125,40.0
Female (name),PI_NAME,prompt_B,q04,-0.018203125000000007,3.531875,3.513671875,40.0
Female (name),PI_NAME,prompt_B,q05,-0.06132812500000001,2.9234375,2.862109375,40.0
Female (name),PI_NAME,prompt_B,q06,-0.035234375,3.58625,3.5510156250000002,40.0
Female (name),PI_NAME,prompt_C,q01,-0.056171875,3.7825,3.726328125,40.0
Female (name),PI_NAME,prompt_C,q02,-0.024453124999999996,3.87875,3.8542968749999997,40.0
Female (name),PI_NAME,prompt_C,q03,-0.07359375,3.1828125,3.10921875,40.0
Female (name),PI_NAME,prompt_C,q04,-0.054140625,3.568125,3.5139843749999997,40.0
Female (name),PI_NAME,prompt_C,q05,-0.137265625,2.9440625000000002,2.806796875,40.0
Female (name),PI_NAME,prompt_C,q06,-0.092265625,3.6303125,3.538046875,40.0
Higher (profile),PI_BIB,prompt_A,q01,-0.034453125,3.77875,3.744296875,40.0
Higher (profile),PI_BIB,prompt_A,q02,-0.039375,3.875625,3.8362499999999997,40.0
Higher (profile),PI_BIB,prompt_A,q03,-0.06984375,3.181875,3.11203125,40.0
Higher (profile),PI_BIB,prompt_A,q04,-0.036015625,3.5434375,3.507421875,40.0
Higher (profile),PI_BIB,prompt_A,q05,-0.07296875,2.91,2.83703125,40.0
Higher (profile),PI_BIB,prompt_A,q06,-0.055,3.6025,3.5475000000000003,40.0
Higher (profile),PI_BIB,prompt_B,q01,-0.0033593749999999986,3.7553125,3.751953125,40.0
Higher (profile),PI_BIB,prompt_B,q02,0.0010156249999999987,3.863125,3.864140625,40.0
Higher (profile),PI_BIB,prompt_B,q03,0.015546874999999998,3.1521874999999997,3.167734375,40.0
Higher (profile),PI_BIB,prompt_B,q04,0.019687499999999997,3.531875,3.5515624999999997,40.0
Higher (profile),PI_BIB,prompt_B,q05,-0.00039062500000000035,2.9234375,2.923046875,40.0
Higher (profile),PI_BIB,prompt_B,q06,0.01960937499999999,3.58625,3.605859375,40.0
Higher (profile),PI_BIB,prompt_C,q01,-0.0315625,3.7825,3.7509375,40.0
Higher (profile),PI_BIB,prompt_C,q02,-7.812499999999703e-05,3.87875,3.878671875,40.0
Higher (profile),PI_BIB,prompt_C,q03,0.0008593750000000008,3.1828125,3.183671875,40.0
Higher (profile),PI_BIB,prompt_C,q04,-0.007734375,3.568125,3.560390625,40.0
Higher (profile),PI_BIB,prompt_C,q05,-0.031796875,2.9440625000000002,2.912265625,40.0
Higher (profile),PI_BIB,prompt_C,q06,-0.020234375000000002,3.6303125,3.610078125,40.0
Low-tier (inst.),PI_INST,prompt_A,q01,-0.07703125,3.77875,3.70171875,40.0
Low-tier (inst.),PI_INST,prompt_A,q02,-0.08640625,3.875625,3.78921875,40.0
Low-tier (inst.),PI_INST,prompt_A,q03,-0.205546875,3.181875,2.9763281249999998,40.0
Low-tier (inst.),PI_INST,prompt_A,q04,-0.131328125,3.5434375,3.412109375,40.0
Low-tier (inst.),PI_INST,prompt_A,q05,-0.296953125,2.91,2.613046875,40.0
Low-tier (inst.),PI_INST,prompt_A,q06,-0.19328125,3.6025,3.40921875,40.0
Low-tier (inst.),PI_INST,prompt_B,q01,-0.042812499999999996,3.7553125,3.7125000000000004,40.0
Low-tier (inst.),PI_INST,prompt_B,q02,-0.032109374999999996,3.863125,3.831015625,40.0
Low-tier (inst.),PI_INST,prompt_B,q03,-0.064296875,3.1521874999999997,3.087890625,40.0
Low-tier (inst.),PI_INST,prompt_B,q04,-0.03476562500000001,3.531875,3.497109375,40.0
Low-tier (inst.),PI_INST,prompt_B,q05,-0.09468750000000001,2.9234375,2.82875,40.0
Low-tier (inst.),PI_INST,prompt_B,q06,-0.06046875,3.58625,3.52578125,40.0
Low-tier (inst.),PI_INST,prompt_C,q01,-0.0671875,3.7825,3.7153125,40.0
Low-tier (inst.),PI_INST,prompt_C,q02,-0.03078125,3.87875,3.84796875,40.0
Low-tier (inst.),PI_INST,prompt_C,q03,-0.09960937499999999,3.1828125,3.083203125,40.0
Low-tier (inst.),PI_INST,prompt_C,q04,-0.0740625,3.568125,3.4940625,40.0
Low-tier (inst.),PI_INST,prompt_C,q05,-0.176328125,2.9440625000000002,2.767734375,40.0
Low-tier (inst.),PI_INST,prompt_C,q06,-0.11984375,3.6303125,3.5104687500000002,40.0
